query_dataset,query_frame_count,query_frame_path,dino_reference_dataset,dino_reference_frame_count,dino_position_error_m,temporal_reference_dataset,temporal_reference_frame_count,temporal_reference_frame_path,temporal_rank,temporal_dino_similarity,lg_match_count,lg_inlier_count,lg_inlier_ratio,temporal_position_error_m
v14,2699,data/processed/frames_v14_1fps/frame_000091.jpg,v11,1050,27.74310045573656,v11,1080,data/processed/frames_v11_1fps/frame_000037.jpg,6,0.91471928358078,155,131,0.8451612903225807,29.10683346597992
v14,2729,data/processed/frames_v14_1fps/frame_000092.jpg,v11,1050,26.54240057642891,v11,1080,data/processed/frames_v11_1fps/frame_000037.jpg,4,0.9100609421730042,163,137,0.8404907975460123,27.90802704698709
v14,2759,data/processed/frames_v14_1fps/frame_000093.jpg,v11,1050,24.722190166797574,v11,1050,data/processed/frames_v11_1fps/frame_000036.jpg,1,0.9010087847709656,162,135,0.8333333333333334,24.722190166797574
v14,2789,data/processed/frames_v14_1fps/frame_000094.jpg,v11,1050,23.011205506643268,v11,1050,data/processed/frames_v11_1fps/frame_000036.jpg,1,0.8667413592338562,169,152,0.8994082840236687,23.011205506643268
v14,2818,data/processed/frames_v14_1fps/frame_000095.jpg,v11,1050,13.025573581238499,v11,1050,data/processed/frames_v11_1fps/frame_000036.jpg,1,0.8345687985420227,147,131,0.891156462585034,13.025573581238499
v14,2848,data/processed/frames_v14_1fps/frame_000096.jpg,v11,960,12.987234789296009,v11,1020,data/processed/frames_v11_1fps/frame_000035.jpg,6,0.7814878225326538,142,128,0.9014084507042254,12.661997624129375
v14,2878,data/processed/frames_v14_1fps/frame_000097.jpg,v11,960,11.809276414396368,v11,1020,data/processed/frames_v11_1fps/frame_000035.jpg,8,0.7333322167396545,132,125,0.946969696969697,11.625195056952865
v14,2908,data/processed/frames_v14_1fps/frame_000098.jpg,v11,960,12.925799847065013,v11,1020,data/processed/frames_v11_1fps/frame_000035.jpg,10,0.7785157561302185,142,126,0.8873239436619719,15.792668510417666
v14,2938,data/processed/frames_v14_1fps/frame_000099.jpg,v11,930,13.990098540086088,v11,960,data/processed/frames_v11_1fps/frame_000033.jpg,2,0.9037913084030151,184,130,0.7065217391304348,15.441813025705036
v14,2968,data/processed/frames_v14_1fps/frame_000100.jpg,v11,930,15.998155745548429,v11,960,data/processed/frames_v11_1fps/frame_000033.jpg,2,0.9171590209007263,204,152,0.7450980392156863,17.48309713866093
v14,2998,data/processed/frames_v14_1fps/frame_000101.jpg,v11,900,13.45354546798756,v11,960,data/processed/frames_v11_1fps/frame_000033.jpg,5,0.8939801454544067,195,145,0.7435897435897436,16.53870319013657
v14,3028,data/processed/frames_v14_1fps/frame_000102.jpg,v11,870,10.169524559780209,v11,930,data/processed/frames_v11_1fps/frame_000032.jpg,6,0.878434419631958,157,108,0.6878980891719745,13.166453409718391
v14,3058,data/processed/frames_v14_1fps/frame_000103.jpg,v11,870,8.61075241794734,v11,900,data/processed/frames_v11_1fps/frame_000031.jpg,3,0.8878509998321533,167,110,0.6586826347305389,9.974388390561995
